hhID,personID,per_num,SUBREG,SUBREG_GRP,SUBREGCluster,PAge,PGender,PEmp,POcc,PComm,Pweight,SUBREG_GRPDummy,SUBREGClusterDummy
233,436,1,53.1,20,1,9,2,3,NA,NA,78.73053833,20,1
234,437,1,53.1,20,1,8,1,3,NA,NA,37.15883436,20,1
234,438,2,53.1,20,1,8,1,3,NA,NA,37.15883436,20,1
235,439,1,61,24,3,9,1,3,NA,NA,46.18484884,24,3
235,440,2,61,24,3,9,2,3,NA,NA,46.18484884,24,3
236,441,1,62.2,26,4,8,1,1,2,workFromHome,40.292277,26,4
237,442,1,62.2,26,4,9,1,3,NA,NA,40.292277,26,4
237,443,2,62.2,26,4,9,2,3,NA,NA,40.292277,26,4
238,444,1,71.1,30,1,6,2,1,5,active,73.84375,30,1
239,445,1,71.1,30,1,5,1,1,1,transit,39.66397038,30,1
240,446,1,71.2,30,3,9,2,3,NA,NA,39.66397038,30,3
241,447,1,71.2,30,3,10,2,3,NA,NA,39.66397038,30,3
241,448,2,71.2,30,3,8,1,3,NA,NA,39.66397038,30,3
241,449,3,71.2,30,3,7,1,3,NA,NA,39.66397038,30,3
242,450,1,71.2,30,3,9,1,3,NA,NA,39.66397038,30,3
242,451,2,71.2,30,3,9,2,3,NA,NA,39.66397038,30,3
243,452,1,71.2,30,3,6,1,3,NA,NA,39.66397038,30,3
243,453,2,71.2,30,3,8,2,3,NA,NA,39.66397038,30,3
244,454,1,73,32,3,9,1,3,NA,NA,50.0922619,32,3
244,455,2,73,32,3,9,2,2,6,workFromHome,50.0922619,32,3
245,456,1,74,33,4,6,2,1,6,auto,69.66809669,33,4
245,457,2,74,33,4,6,1,2,2,auto,69.66809669,33,4
245,458,3,74,33,4,9,2,3,NA,NA,69.66809669,33,4
245,459,4,74,33,4,2,2,3,NA,NA,69.66809669,33,4
246,460,1,75,34,3,9,1,3,NA,NA,36.64959926,34,3
246,461,2,75,34,3,9,2,3,NA,NA,36.64959926,34,3
247,462,1,77,35,4,8,1,3,NA,NA,48.75420875,35,4
247,463,2,77,35,4,8,2,3,NA,NA,48.75420875,35,4
248,464,1,79,36,1,9,2,3,NA,NA,71.93430984,36,1
248,465,2,79,36,1,9,1,3,NA,NA,71.93430984,36,1
249,466,1,83,39,3,9,1,3,NA,NA,37.06229615,39,3
249,467,2,83,39,3,9,2,3,NA,NA,37.06229615,39,3
250,468,1,83,39,3,9,1,3,NA,NA,37.06229615,39,3
250,469,2,83,39,3,9,2,3,NA,NA,37.06229615,39,3
251,470,1,83,39,3,8,1,3,NA,NA,37.06229615,39,3
251,471,2,83,39,3,9,2,3,NA,NA,37.06229615,39,3
252,472,1,83,39,3,9,1,3,NA,NA,51.8851737,39,3
252,473,2,83,39,3,9,2,2,4,workFromHome,51.8851737,39,3
253,474,1,94,42,4,9,2,3,NA,NA,45.22586873,42,4
253,475,2,94,42,4,8,1,2,8,auto,45.22586873,42,4
254,476,1,95,43,1,9,1,3,NA,NA,86.51515152,43,1
255,477,1,42.1,13,1,8,1,2,5,transit,37.91466497,13,1
256,478,1,11.1,1,2,8,1,2,1,workFromHome,38.66814155,1,2
256,479,2,11.1,1,2,9,1,3,NA,NA,38.66814155,1,2
256,480,3,11.1,1,2,10,2,3,NA,NA,38.66814155,1,2
257,481,1,11.1,1,2,9,1,2,8,auto,38.66814155,1,2
257,482,2,11.1,1,2,8,2,3,NA,NA,38.66814155,1,2
257,483,3,11.1,1,2,6,1,2,2,workFromHome,38.66814155,1,2
257,484,4,11.1,1,2,6,2,2,7,auto,38.66814155,1,2
258,485,1,11.1,1,2,9,1,3,NA,NA,38.66814155,1,2
258,486,2,11.1,1,2,9,2,3,NA,NA,38.66814155,1,2
259,487,1,11.1,1,2,9,2,3,NA,NA,54.78276918,1,2
260,488,1,11.1,1,2,5,1,2,7,transit,38.66814155,1,2
260,489,2,11.1,1,2,9,2,3,NA,NA,38.66814155,1,2
261,490,1,11.1,1,2,9,2,3,NA,NA,54.78276918,1,2
262,491,1,11.1,1,2,9,1,3,NA,NA,38.66814155,1,2
263,492,1,11.1,1,2,9,2,3,NA,NA,38.66814155,1,2
263,493,2,11.1,1,2,7,1,3,NA,NA,38.66814155,1,2
263,494,3,11.1,1,2,5,2,1,4,auto,38.66814155,1,2
264,495,1,11.1,1,2,8,1,2,1,workFromHome,38.66814155,1,2
264,496,2,11.1,1,2,7,2,2,4,auto,38.66814155,1,2
264,497,3,11.1,1,2,2,2,3,NA,NA,38.66814155,1,2
265,498,1,11.1,1,2,9,1,3,NA,NA,54.78276918,1,2
265,499,2,11.1,1,2,9,2,3,NA,NA,54.78276918,1,2
266,500,1,11.1,1,2,7,2,3,NA,NA,38.66814155,1,2
266,501,2,11.1,1,2,7,1,2,7,transit,38.66814155,1,2
266,502,3,11.1,1,2,4,1,2,7,auto,38.66814155,1,2
266,503,4,11.1,1,2,4,2,2,7,auto,38.66814155,1,2
266,504,5,11.1,1,2,2,1,3,NA,NA,38.66814155,1,2
267,505,1,11.1,1,2,9,1,3,NA,NA,54.78276918,1,2
267,506,2,11.1,1,2,9,2,2,6,workFromHome,54.78276918,1,2
268,507,1,11.1,1,2,7,2,2,2,workFromHome,54.78276918,1,2
268,508,2,11.1,1,2,3,2,3,NA,NA,54.78276918,1,2
269,509,1,11.3,1,1,9,1,1,1,auto,54.78276918,1,1
269,510,2,11.3,1,1,9,2,3,NA,NA,54.78276918,1,1
270,511,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
271,512,1,12,2,4,8,1,3,NA,NA,36.18711029,2,4
272,513,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
272,514,2,12,2,4,9,2,2,5,auto,20.3367354,2,4
273,515,1,12,2,4,9,1,2,5,auto,20.3367354,2,4
273,516,2,12,2,4,8,2,3,NA,NA,20.3367354,2,4
274,517,1,12,2,4,8,2,1,4,auto,20.3367354,2,4
274,518,2,12,2,4,8,1,2,8,auto,20.3367354,2,4
275,519,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
275,520,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
276,521,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
276,522,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
277,523,1,12,2,4,9,2,3,NA,NA,36.18711029,2,4
277,524,2,12,2,4,8,1,3,NA,NA,36.18711029,2,4
278,525,1,12,2,4,8,1,1,5,auto,20.3367354,2,4
278,526,2,12,2,4,8,2,1,4,auto,20.3367354,2,4
278,527,3,12,2,4,4,1,3,NA,NA,20.3367354,2,4
279,528,1,12,2,4,10,1,3,NA,NA,20.3367354,2,4
279,529,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
280,530,1,12,2,4,8,1,2,2,auto,20.3367354,2,4
280,531,2,12,2,4,8,2,1,2,auto,20.3367354,2,4
280,532,3,12,2,4,4,1,3,NA,NA,20.3367354,2,4
281,533,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
281,534,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
282,535,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
282,536,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
283,537,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
283,538,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
284,539,1,12,2,4,8,2,3,NA,NA,20.3367354,2,4
284,540,2,12,2,4,9,1,2,5,auto,20.3367354,2,4
285,541,1,12,2,4,9,2,3,NA,NA,20.3367354,2,4
285,542,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
286,543,1,12,2,4,9,1,3,NA,NA,36.18711029,2,4
286,544,2,12,2,4,9,2,3,NA,NA,36.18711029,2,4
287,545,1,12,2,4,10,1,3,NA,NA,20.3367354,2,4
287,546,2,12,2,4,10,2,3,NA,NA,20.3367354,2,4
288,547,1,12,2,4,8,1,3,NA,NA,20.3367354,2,4
288,548,2,12,2,4,8,2,1,8,auto,20.3367354,2,4
289,549,1,12,2,4,9,1,3,NA,NA,36.18711029,2,4
289,550,2,12,2,4,9,2,3,NA,NA,36.18711029,2,4
290,551,1,12,2,4,9,2,3,NA,NA,20.3367354,2,4
290,552,2,12,2,4,9,1,3,NA,NA,20.3367354,2,4
291,553,1,12,2,4,7,2,1,7,auto,20.3367354,2,4
291,554,2,12,2,4,8,1,1,10,auto,20.3367354,2,4
291,555,3,12,2,4,5,1,1,8,transit,20.3367354,2,4
292,556,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
292,557,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
293,558,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
293,559,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
294,560,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
295,561,1,12,2,4,8,1,2,9,workFromHome,20.3367354,2,4
295,562,2,12,2,4,8,2,2,6,workFromHome,20.3367354,2,4
296,563,1,12,2,4,8,1,1,10,active,20.3367354,2,4
296,564,2,12,2,4,8,2,3,NA,NA,20.3367354,2,4
296,565,3,12,2,4,4,1,2,7,auto,20.3367354,2,4
297,566,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
297,567,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
298,568,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
299,569,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
299,570,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
300,571,1,12,2,4,8,1,1,10,auto,20.3367354,2,4
300,572,2,12,2,4,8,2,3,NA,NA,20.3367354,2,4
300,573,3,12,2,4,4,2,1,7,transit,20.3367354,2,4
301,574,1,12,2,4,9,2,3,NA,NA,20.3367354,2,4
302,575,1,12,2,4,8,1,2,3,workFromHome,20.3367354,2,4
303,576,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
304,577,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
304,578,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
305,579,1,12,2,4,7,1,2,2,workFromHome,20.3367354,2,4
305,580,2,12,2,4,7,2,1,2,auto,20.3367354,2,4
305,581,3,12,2,4,2,1,3,NA,NA,20.3367354,2,4
305,582,4,12,2,4,1,1,3,NA,NA,20.3367354,2,4
306,583,1,38,11,4,8,1,3,NA,NA,34.36724645,11,4
306,584,2,38,11,4,8,2,3,NA,NA,34.36724645,11,4
307,585,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
308,586,1,12,2,4,8,1,3,NA,NA,36.18711029,2,4
309,587,1,12,2,4,8,1,1,2,transit,20.3367354,2,4
309,588,2,12,2,4,8,2,1,2,transit,20.3367354,2,4
309,589,3,12,2,4,5,2,3,NA,NA,20.3367354,2,4
310,590,1,12,2,4,9,1,3,NA,NA,36.18711029,2,4
310,591,2,12,2,4,9,2,3,NA,NA,36.18711029,2,4
311,592,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
311,593,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
312,594,1,12,2,4,8,1,3,NA,NA,20.3367354,2,4
312,595,2,12,2,4,6,2,3,NA,NA,20.3367354,2,4
313,596,1,12,2,4,8,2,3,NA,NA,20.3367354,2,4
313,597,2,12,2,4,8,1,3,NA,NA,20.3367354,2,4
314,598,1,12,2,4,9,1,3,NA,NA,36.18711029,2,4
314,599,2,12,2,4,9,2,3,NA,NA,36.18711029,2,4
315,600,1,12,2,4,9,2,3,NA,NA,20.3367354,2,4
316,601,1,12,2,4,8,2,1,2,auto,36.18711029,2,4
317,602,1,12,2,4,8,2,3,NA,NA,20.3367354,2,4
318,603,1,12,2,4,9,1,3,NA,NA,36.18711029,2,4
318,604,2,12,2,4,9,2,3,NA,NA,36.18711029,2,4
319,605,1,12,2,4,8,2,3,NA,NA,20.3367354,2,4
319,606,2,12,2,4,8,1,3,NA,NA,20.3367354,2,4
319,607,3,12,2,4,5,1,3,NA,NA,20.3367354,2,4
320,608,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
320,609,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
321,610,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
321,611,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
322,612,1,12,2,4,7,1,1,2,auto,20.3367354,2,4
322,613,2,12,2,4,7,2,1,5,auto,20.3367354,2,4
323,614,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
323,615,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
324,616,1,12,2,4,1,2,3,NA,NA,20.3367354,2,4
324,617,2,12,2,4,2,2,3,NA,NA,20.3367354,2,4
324,618,3,12,2,4,8,1,1,3,auto,20.3367354,2,4
324,619,4,12,2,4,6,1,1,4,auto,20.3367354,2,4
325,620,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
325,621,2,12,2,4,8,2,2,5,active,20.3367354,2,4
325,622,3,12,2,4,4,2,3,NA,NA,20.3367354,2,4
326,623,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
326,624,2,12,2,4,9,2,2,2,active,20.3367354,2,4
327,625,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
327,626,2,12,2,4,8,2,3,NA,NA,20.3367354,2,4
328,627,1,12,2,4,9,1,2,7,workFromHome,20.3367354,2,4
328,628,2,12,2,4,9,2,2,7,auto,20.3367354,2,4
329,629,1,12,2,4,9,1,3,NA,NA,20.3367354,2,4
329,630,2,12,2,4,9,2,3,NA,NA,20.3367354,2,4
330,631,1,12,2,4,8,2,3,NA,NA,20.3367354,2,4
330,632,2,12,2,4,9,1,3,NA,NA,20.3367354,2,4
330,633,3,12,2,4,5,1,3,NA,NA,20.3367354,2,4
331,634,1,12,2,4,9,1,3,NA,NA,36.18711029,2,4
331,635,2,12,2,4,8,2,1,2,auto,36.18711029,2,4
332,636,1,12,2,4,7,2,2,4,auto,20.3367354,2,4
332,637,2,12,2,4,8,1,3,NA,NA,20.3367354,2,4
332,638,3,12,2,4,4,2,3,NA,NA,20.3367354,2,4
333,639,1,13.1,3,1,9,1,3,NA,NA,32.17161866,3,1
333,640,2,13.1,3,1,9,2,3,NA,NA,32.17161866,3,1
334,641,1,13.1,3,1,8,2,3,NA,NA,32.17161866,3,1
335,642,1,13.1,3,1,9,1,3,NA,NA,32.17161866,3,1
336,643,1,13.1,3,1,9,2,3,NA,NA,32.17161866,3,1
337,644,1,13.1,3,1,9,1,3,NA,NA,49.47643544,3,1
337,645,2,13.1,3,1,8,2,3,NA,NA,49.47643544,3,1
338,646,1,13.1,3,1,8,2,2,2,workFromHome,49.47643544,3,1
339,647,1,13.1,3,1,9,2,3,NA,NA,49.47643544,3,1
340,648,1,13.1,3,1,9,2,3,NA,NA,49.47643544,3,1
341,649,1,13.1,3,1,9,1,3,NA,NA,49.47643544,3,1
341,650,2,13.1,3,1,9,2,3,NA,NA,49.47643544,3,1
342,651,1,13.1,3,1,8,2,2,1,workFromHome,32.17161866,3,1
342,652,2,13.1,3,1,5,2,2,7,auto,32.17161866,3,1
343,653,1,13.1,3,1,8,2,1,2,transit,32.17161866,3,1
343,654,2,13.1,3,1,9,2,3,NA,NA,32.17161866,3,1
344,655,1,13.1,3,1,6,2,1,4,auto,49.47643544,3,1
344,656,2,13.1,3,1,7,1,1,8,transit,49.47643544,3,1
345,657,1,13.1,3,1,8,1,2,1,auto,49.47643544,3,1
346,658,1,13.1,3,1,9,2,3,NA,NA,32.17161866,3,1
347,659,1,13.1,3,1,8,1,3,NA,NA,32.17161866,3,1
348,660,1,13.1,3,1,8,1,1,1,workFromHome,32.17161866,3,1
348,661,2,13.1,3,1,7,2,2,6,workFromHome,32.17161866,3,1
349,662,1,13.1,3,1,8,2,2,5,workFromHome,49.47643544,3,1
350,663,1,13.1,3,1,8,2,1,5,transit,32.17161866,3,1
351,664,1,13.1,3,1,7,2,1,4,auto,32.17161866,3,1
351,665,2,13.1,3,1,9,2,1,7,auto,32.17161866,3,1
351,666,3,13.1,3,1,3,2,2,7,transit,32.17161866,3,1
352,667,1,13.2,3,1,8,2,3,NA,NA,32.17161866,3,1
352,668,2,13.2,3,1,8,1,2,3,auto,32.17161866,3,1
353,669,1,13.2,3,1,9,1,3,NA,NA,32.17161866,3,1
353,670,2,13.2,3,1,9,2,3,NA,NA,32.17161866,3,1
354,671,1,13.2,3,1,9,1,3,NA,NA,49.47643544,3,1
354,672,2,13.2,3,1,9,2,3,NA,NA,49.47643544,3,1
355,673,1,13.2,3,1,8,1,1,7,auto,32.17161866,3,1
355,674,2,13.2,3,1,7,2,1,4,auto,32.17161866,3,1
355,675,3,13.2,3,1,5,1,1,7,transit,32.17161866,3,1
356,676,1,13.2,3,1,9,2,1,2,active,49.47643544,3,1
357,677,1,13.2,3,1,6,2,2,4,auto,32.17161866,3,1
357,678,2,13.2,3,1,7,1,1,4,auto,32.17161866,3,1
357,679,3,13.2,3,1,1,2,3,NA,NA,32.17161866,3,1
357,680,4,13.2,3,1,1,1,3,NA,NA,32.17161866,3,1
358,681,1,13.2,3,1,8,1,3,NA,NA,32.17161866,3,1
358,682,2,13.2,3,1,8,2,1,4,auto,32.17161866,3,1
359,683,1,21,4,2,8,2,3,NA,NA,29.76898566,4,2
360,684,1,21,4,2,9,2,3,NA,NA,29.76898566,4,2
361,685,1,21,4,2,8,2,1,1,active,46.20553258,4,2
361,686,2,21,4,2,9,1,3,NA,NA,46.20553258,4,2
362,687,1,21,4,2,9,2,3,NA,NA,46.20553258,4,2
363,688,1,21,4,2,6,2,3,NA,NA,29.76898566,4,2
364,689,1,21,4,2,9,1,3,NA,NA,46.20553258,4,2
365,690,1,21,4,2,7,2,1,4,auto,29.76898566,4,2
366,691,1,21,4,2,9,1,3,NA,NA,29.76898566,4,2
367,692,1,21,4,2,9,2,3,NA,NA,46.20553258,4,2
368,693,1,21,4,2,9,2,3,NA,NA,29.76898566,4,2
369,694,1,21,4,2,10,1,3,NA,NA,29.76898566,4,2
370,695,1,21,4,2,8,1,1,4,workFromHome,46.20553258,4,2
371,696,1,21,4,2,8,2,1,5,active,29.76898566,4,2
372,697,1,21,4,2,8,2,1,5,transit,29.76898566,4,2
373,698,1,21,4,2,8,2,3,NA,NA,29.76898566,4,2
373,699,2,21,4,2,8,1,1,5,workFromHome,29.76898566,4,2
374,700,1,21,4,2,10,2,3,NA,NA,29.76898566,4,2
375,701,1,21,4,2,8,2,1,2,transit,29.76898566,4,2
376,702,1,21,4,2,5,2,1,2,transit,29.76898566,4,2
377,703,1,21,4,2,7,2,2,4,workFromHome,29.76898566,4,2
378,704,1,21,4,2,9,2,3,NA,NA,29.76898566,4,2
379,705,1,21,4,2,6,1,2,2,auto,29.76898566,4,2
379,706,2,21,4,2,6,2,1,3,auto,29.76898566,4,2
380,707,1,21,4,2,8,2,2,6,active,29.76898566,4,2
381,708,1,21,4,2,9,1,3,NA,NA,46.20553258,4,2
382,709,1,21,4,2,9,1,3,NA,NA,46.20553258,4,2
383,710,1,21,4,2,9,2,3,NA,NA,29.76898566,4,2
384,711,1,21,4,2,9,2,3,NA,NA,29.76898566,4,2
385,712,1,21,4,2,9,1,3,NA,NA,46.20553258,4,2
385,713,2,21,4,2,9,2,3,NA,NA,46.20553258,4,2
386,714,1,21,4,2,8,1,3,NA,NA,29.76898566,4,2
387,715,1,21,4,2,8,2,1,2,active,29.76898566,4,2
388,716,1,21,4,2,9,2,3,NA,NA,29.76898566,4,2
389,717,1,21,4,2,9,2,3,NA,NA,29.76898566,4,2
390,718,1,21,4,2,8,1,1,1,transit,29.76898566,4,2
391,719,1,21,4,2,9,1,3,NA,NA,46.20553258,4,2
392,720,1,21,4,2,9,2,3,NA,NA,46.20553258,4,2
393,721,1,21,4,2,9,1,3,NA,NA,29.76898566,4,2
394,722,1,21,4,2,8,2,2,8,auto,29.76898566,4,2
395,723,1,21,4,2,9,2,3,NA,NA,29.76898566,4,2
396,724,1,21,4,2,9,2,3,NA,NA,46.20553258,4,2
397,725,1,21,4,2,9,1,3,NA,NA,46.20553258,4,2
397,726,2,21,4,2,9,2,3,NA,NA,46.20553258,4,2
398,727,1,21,4,2,8,1,1,6,auto,29.76898566,4,2
399,728,1,21,4,2,9,1,3,NA,NA,29.76898566,4,2
399,729,2,21,4,2,9,2,3,NA,NA,29.76898566,4,2
400,730,1,21,4,2,9,1,2,5,workFromHome,29.76898566,4,2
400,731,2,21,4,2,9,2,3,NA,NA,29.76898566,4,2
401,732,1,21,4,2,9,1,3,NA,NA,29.76898566,4,2
402,733,1,21,4,2,8,2,1,1,active,29.76898566,4,2
402,734,2,21,4,2,7,1,1,1,active,29.76898566,4,2
403,735,1,21,4,2,9,1,3,NA,NA,29.76898566,4,2
404,736,1,21,4,2,9,2,3,NA,NA,29.76898566,4,2
405,737,1,21,4,2,9,2,3,NA,NA,46.20553258,4,2
406,738,1,21,4,2,9,2,3,NA,NA,29.76898566,4,2
407,739,1,21,4,2,8,2,1,2,active,29.76898566,4,2
408,740,1,21,4,2,9,2,3,NA,NA,29.76898566,4,2
409,741,1,21,4,2,9,2,3,NA,NA,29.76898566,4,2
410,742,1,21,4,2,8,1,1,5,transit,46.20553258,4,2
410,743,2,21,4,2,8,2,1,5,active,46.20553258,4,2
411,744,1,21,4,2,9,1,3,NA,NA,29.76898566,4,2
412,745,1,22,5,2,9,1,3,NA,NA,37.35369136,5,2
412,746,2,22,5,2,9,2,3,NA,NA,37.35369136,5,2
413,747,1,22,5,2,9,1,3,NA,NA,37.35369136,5,2
414,748,1,22,5,2,8,1,1,6,active,37.35369136,5,2
415,749,1,22,5,2,9,2,2,1,workFromHome,64.39254665,5,2
416,750,1,22,5,2,8,2,3,NA,NA,37.35369136,5,2
416,751,2,22,5,2,9,1,3,NA,NA,37.35369136,5,2
417,752,1,22,5,2,9,1,3,NA,NA,37.35369136,5,2
418,753,1,22,5,2,9,1,3,NA,NA,37.35369136,5,2
418,754,2,22,5,2,9,2,3,NA,NA,37.35369136,5,2
419,755,1,22,5,2,7,1,1,4,auto,37.35369136,5,2
420,756,1,22,5,2,6,1,1,5,transit,37.35369136,5,2
421,757,1,22,5,2,6,1,1,3,transit,37.35369136,5,2
422,758,1,22,5,2,7,2,1,5,workFromHome,37.35369136,5,2
423,759,1,22,5,2,9,2,3,NA,NA,37.35369136,5,2
424,760,1,22,5,2,7,2,1,7,auto,37.35369136,5,2
424,761,2,22,5,2,9,1,1,6,auto,37.35369136,5,2
425,762,1,22,5,2,7,1,1,4,auto,37.35369136,5,2
425,763,2,22,5,2,8,1,1,1,auto,37.35369136,5,2
426,764,1,22,5,2,8,2,2,2,workFromHome,37.35369136,5,2
427,765,1,22,5,2,9,2,3,NA,NA,37.35369136,5,2
427,766,2,22,5,2,9,1,3,NA,NA,37.35369136,5,2
428,767,1,22,5,2,6,1,1,7,other,37.35369136,5,2
428,768,2,22,5,2,6,2,1,7,active,37.35369136,5,2
429,769,1,22,5,2,7,2,1,3,transit,37.35369136,5,2
430,770,1,22,5,2,9,1,3,NA,NA,37.35369136,5,2
430,771,2,22,5,2,9,2,3,NA,NA,37.35369136,5,2
431,772,1,22,5,2,8,2,1,5,transit,37.35369136,5,2
432,773,1,22,5,2,9,1,3,NA,NA,37.35369136,5,2
433,774,1,22,5,2,8,1,2,6,workFromHome,37.35369136,5,2
434,775,1,22,5,2,9,2,2,5,transit,37.35369136,5,2
435,776,1,22,5,2,9,1,3,NA,NA,37.35369136,5,2
435,777,2,22,5,2,9,2,2,4,transit,37.35369136,5,2
436,778,1,22,5,2,9,1,3,NA,NA,37.35369136,5,2
436,779,2,22,5,2,9,2,3,NA,NA,37.35369136,5,2
437,780,1,22,5,2,9,1,3,NA,NA,37.35369136,5,2
437,781,2,22,5,2,9,2,3,NA,NA,37.35369136,5,2
438,782,1,22,5,2,8,1,1,5,active,37.35369136,5,2
438,783,2,22,5,2,8,2,1,5,active,37.35369136,5,2
439,784,1,22,5,2,7,2,2,2,workFromHome,37.35369136,5,2
440,785,1,22,5,2,8,2,3,NA,NA,37.35369136,5,2
441,786,1,29,6,1,9,1,3,NA,NA,24.16290488,6,1
441,787,2,29,6,1,8,2,3,NA,NA,24.16290488,6,1
442,788,1,29,6,1,9,2,3,NA,NA,24.16290488,6,1
442,789,2,29,6,1,9,1,3,NA,NA,24.16290488,6,1
443,790,1,29,6,1,9,1,3,NA,NA,24.16290488,6,1
443,791,2,29,6,1,9,2,3,NA,NA,24.16290488,6,1
444,792,1,29,6,1,8,2,3,NA,NA,24.16290488,6,1
446,795,1,29,6,1,9,2,3,NA,NA,24.16290488,6,1
446,796,2,29,6,1,9,1,3,NA,NA,24.16290488,6,1
447,797,1,29,6,1,9,1,3,NA,NA,24.16290488,6,1
448,798,1,29,6,1,7,1,1,10,transit,24.16290488,6,1
448,799,2,29,6,1,7,2,3,NA,NA,24.16290488,6,1
448,800,3,29,6,1,3,2,3,NA,NA,24.16290488,6,1
449,801,1,33,6,2,9,2,1,5,auto,30.40727874,6,2
