hh_id,household_serial_no,TAZ,MAZ,hinccat1,hinc,hworkers,veh,persons,hht,bldgsz,unittype,version,poverty,SampleRate
828665,0,646,14477,2,59932,1,0,2,5,1,0,0,4.104,1.0
828666,0,646,14477,5,259287,2,0,2,1,1,0,0,17.757,1.0
828667,0,646,14477,2,50408,0,0,2,1,8,0,0,3.825,1.0
828668,0,646,14477,2,49584,2,0,3,1,8,0,0,2.907,1.0
828669,0,646,14477,3,90183,2,0,2,5,1,0,0,6.176,1.0
828670,0,646,14477,4,107444,2,0,2,5,1,0,0,7.358,1.0
828671,0,646,14477,1,28683,1,0,4,1,8,0,0,1.297,1.0
828672,0,646,14477,1,12413,0,0,2,3,1,0,0,0.826,1.0
828673,0,646,14477,2,34310,0,0,5,3,1,0,0,1.318,1.0
828674,0,646,14477,5,182573,2,0,3,2,1,0,0,10.402,1.0
828675,0,646,14477,2,56006,0,0,2,3,1,0,0,4.249,1.0
828676,0,646,14477,3,93465,1,0,3,1,1,0,0,5.48,1.0
828677,0,646,14477,2,50873,2,0,6,3,1,0,0,1.658,1.0
828678,0,646,14477,1,11110,2,0,3,1,1,0,0,0.651,1.0
828679,0,646,14477,1,15774,1,0,2,3,1,0,0,1.05,1.0
828680,0,646,14477,3,70026,2,0,4,1,1,0,0,3.167,1.0
828681,0,646,14477,4,107675,1,0,1,4,1,0,0,9.492,1.0
828682,0,646,14477,1,4680,1,0,1,6,1,0,0,0.413,1.0
828683,0,646,14477,1,28893,1,0,1,4,1,0,0,2.547,1.0
828684,0,646,14477,1,22401,0,0,1,4,1,0,0,2.142,1.0
828685,0,646,14477,1,27137,1,0,1,4,8,0,0,2.392,1.0
828686,0,646,14477,3,65894,1,0,1,4,1,0,0,5.809,1.0
828687,0,646,14477,3,67781,1,0,1,4,1,0,0,5.975,1.0
828688,0,646,14477,1,2792,0,0,1,4,1,0,0,0.246,1.0
828689,0,646,14477,1,15528,1,0,1,6,1,0,0,1.485,1.0
828690,0,646,14477,2,41847,0,0,1,4,1,0,0,4.001,1.0
828691,0,646,14477,2,47257,1,0,1,6,1,0,0,4.166,1.0
828692,0,646,14477,1,18202,1,0,1,4,8,0,0,1.605,1.0
828693,0,646,14477,2,32906,0,0,1,6,1,0,0,3.146,1.0
828694,0,646,14477,1,29982,0,0,1,4,8,0,0,2.867,1.0
828695,0,646,14477,1,19729,0,0,1,6,1,0,0,1.886,1.0
828696,0,646,14477,1,3245,0,0,1,6,1,0,0,0.286,1.0
828697,0,646,14477,2,40505,1,0,1,4,3,0,0,3.571,1.0
828698,0,646,14477,3,78404,1,0,1,4,1,0,0,6.911,1.0
828699,0,646,14477,4,105942,1,0,1,4,1,0,0,9.339,1.0
828700,0,646,14477,1,17407,1,0,1,6,1,0,0,1.534,1.0
828701,0,646,14477,1,9384,2,0,3,1,1,0,0,0.535,1.0
828702,0,646,14477,1,21308,2,0,5,1,8,0,0,0.819,1.0
828703,0,646,14477,1,1359,2,0,2,1,1,0,0,0.093,1.0
828704,0,646,14477,2,38741,2,0,2,2,1,0,0,2.653,1.0
828705,0,646,14477,1,6492,2,0,3,2,2,0,0,0.37,1.0
828706,0,646,14477,2,45897,1,0,4,1,1,0,0,2.008,1.0
828707,0,646,14477,4,117123,2,0,2,7,1,0,0,8.021,1.0
828708,0,646,14477,1,24046,1,0,1,6,1,0,0,2.299,1.0
828709,0,646,14477,1,24801,1,0,2,7,8,0,0,1.698,1.0
828710,0,646,14477,3,62120,1,0,8,2,1,0,0,1.746,1.0
828711,0,646,14477,3,93696,2,0,8,3,8,0,0,2.611,1.0
828712,0,646,14477,2,38413,2,0,6,2,2,0,0,1.318,1.0
828713,0,646,14477,2,50372,2,0,2,7,1,0,0,3.45,1.0
828714,0,646,14477,2,33823,2,0,2,2,1,0,0,2.316,1.0
828715,0,646,14477,1,18826,1,0,4,1,1,0,0,0.851,1.0
828716,0,646,14477,3,92540,2,0,2,2,1,0,0,6.337,1.0
828717,0,646,14477,1,9644,1,0,5,3,1,0,0,0.35,1.0
828718,0,646,14477,1,22089,3,0,3,5,1,0,0,1.295,1.0
828719,0,646,14477,2,40162,2,0,2,5,1,0,0,2.75,1.0
828720,0,646,14477,2,58648,2,0,2,1,1,0,0,4.016,1.0
828721,0,646,14477,2,35170,2,0,3,1,1,0,0,2.062,1.0
828722,0,646,14477,2,45611,2,0,2,5,1,0,0,3.124,1.0
828723,0,646,14477,2,37770,2,0,3,5,1,0,0,2.152,1.0
828724,0,646,14477,2,47150,2,0,9,1,8,0,0,1.069,1.0
828725,0,646,14477,2,43612,1,0,2,2,1,0,0,2.987,1.0
828726,0,646,14477,1,28577,1,0,5,3,1,0,0,1.071,1.0
828727,0,646,14477,1,12022,0,0,2,7,8,0,0,0.823,1.0
828728,0,646,14477,1,26095,3,0,5,1,1,0,0,0.978,1.0
828729,0,646,14477,3,85995,1,0,2,7,1,0,0,5.889,1.0
828730,0,646,14477,4,122697,2,0,4,1,1,0,0,5.368,1.0
828731,0,646,14477,4,130779,3,0,5,1,1,0,0,4.903,1.0
828732,0,646,14477,3,81545,3,0,5,3,1,0,0,3.057,1.0
828733,0,646,14477,1,28472,1,0,2,5,1,0,0,1.894,1.0
828734,0,646,14477,3,74738,3,0,4,1,1,0,0,3.27,1.0
828735,0,646,14477,1,29280,2,0,4,1,1,0,0,1.302,1.0
828736,0,646,14477,1,4151,1,0,2,7,1,0,0,0.284,1.0
828737,0,646,14477,1,13065,2,0,3,1,1,0,0,0.744,1.0
828738,0,646,14477,1,27029,1,0,1,6,8,0,0,2.383,1.0
828739,0,646,14477,3,93811,2,0,3,1,1,0,0,5.345,1.0
828740,0,646,14477,4,136403,2,0,3,1,8,0,0,7.771,1.0
828741,0,646,14477,3,86388,2,0,3,1,1,0,0,4.922,1.0
828742,0,646,14477,4,116844,1,0,7,2,1,0,0,3.255,1.0
828743,0,646,14477,3,68587,2,0,4,1,1,0,0,3.102,1.0
828744,0,646,14477,2,32275,2,0,9,2,1,0,0,0.732,1.0
828745,0,646,14477,1,6265,1,0,4,1,1,0,0,0.283,1.0
828746,0,646,14477,2,55629,1,0,3,7,1,0,0,3.261,1.0
828747,0,646,14477,1,14356,1,0,2,7,1,0,0,0.983,1.0
828748,0,646,14477,2,35399,1,0,2,3,8,0,0,2.424,1.0
828749,0,646,14477,1,26777,0,0,1,6,1,0,0,2.36,1.0
828750,0,646,14477,2,37083,0,0,4,1,1,0,0,1.677,1.0
828751,0,646,14477,2,39474,4,0,5,7,1,0,0,1.455,1.0
828752,0,646,14477,3,69111,2,0,4,1,1,0,0,3.125,1.0
828753,0,646,14477,3,86257,1,0,5,3,1,0,0,3.366,1.0
828754,0,646,14477,4,106867,3,0,4,1,8,0,0,4.675,1.0
828755,0,646,14477,2,38817,1,0,1,4,1,0,0,3.422,1.0
828756,0,646,14477,2,54724,0,0,1,6,1,0,0,4.824,1.0
828757,0,646,14477,1,17807,2,0,5,1,1,0,0,0.647,1.0
828758,0,646,14477,2,40266,2,0,5,7,1,0,0,1.463,1.0
828759,0,646,14477,2,44788,0,0,1,6,1,0,0,3.948,1.0
828760,0,646,14477,2,36814,3,0,3,5,1,0,0,2.158,1.0
828761,0,646,14477,4,105018,1,0,4,3,1,0,0,4.749,1.0
876532,0,693,14426,2,48593,2,0,2,1,1,0,0,3.328,1.0
876533,0,693,14426,2,59061,2,0,3,1,1,0,0,3.365,1.0
876534,0,693,14426,2,51775,1,0,4,1,1,0,0,2.341,1.0
876535,0,693,14426,3,84793,2,0,5,1,1,0,0,3.258,1.0
876536,0,693,14426,2,54673,2,0,3,1,1,0,0,3.115,1.0
876537,0,693,14426,2,43518,1,0,2,3,1,0,0,2.98,1.0
876538,0,693,14426,5,269372,1,0,2,1,1,0,0,20.438,1.0
876539,0,693,14426,5,240745,2,0,4,3,1,0,0,10.532,1.0
876540,0,693,14426,2,33531,0,0,2,1,1,0,0,2.544,1.0
876541,0,693,14426,3,88567,2,0,3,3,1,0,0,5.046,1.0
876542,0,693,14426,4,100745,1,0,2,1,1,0,0,6.899,1.0
876543,0,693,14426,3,66345,2,0,2,1,1,0,0,4.544,1.0
876544,0,693,14426,3,96343,1,0,3,1,1,0,0,5.489,1.0
876545,0,693,14426,3,98544,1,0,2,1,1,0,0,6.749,1.0
876546,0,693,14426,3,68569,1,0,2,3,1,0,0,4.696,1.0
876547,0,693,14426,2,30610,2,0,3,1,1,0,0,1.795,1.0
876548,0,693,14426,4,112906,2,0,4,1,1,0,0,5.106,1.0
876549,0,693,14426,4,132954,1,0,3,1,1,0,0,7.575,1.0
876550,0,693,14426,4,123246,2,0,3,1,1,0,0,7.022,1.0
876551,0,693,14426,3,78421,1,0,1,4,1,0,0,6.913,1.0
876552,0,693,14426,2,43987,1,0,4,1,1,0,0,1.989,1.0
876553,0,693,14426,3,72736,2,0,2,7,1,0,0,4.981,1.0
876554,0,693,14426,2,37997,1,0,2,1,1,0,0,2.602,1.0
876555,0,693,14426,2,54953,1,0,3,3,1,0,0,3.222,1.0
876556,0,693,14426,1,22563,1,0,4,3,1,0,0,1.02,1.0
876557,0,693,14426,5,283979,1,0,4,1,1,0,0,12.842,1.0
876558,0,693,14426,1,2222,0,0,2,1,1,0,0,0.152,1.0
876559,0,693,14426,5,271125,1,0,2,2,1,0,0,18.568,1.0
876560,0,693,14426,5,161356,2,0,2,1,1,0,0,11.05,1.0
876561,0,693,14426,5,166455,2,0,3,1,1,0,0,9.484,1.0
876562,0,693,14426,4,132848,1,0,2,2,1,0,0,9.098,1.0
876563,0,693,14426,4,111124,0,0,2,1,1,0,0,8.431,1.0
876564,0,693,14426,2,33951,0,0,1,4,1,0,0,3.246,1.0
876565,0,693,14426,3,97390,1,0,1,6,1,0,0,8.585,1.0
876566,0,693,14426,2,39990,0,0,1,4,1,0,0,3.824,1.0
876567,0,693,14426,2,32331,0,0,1,6,1,0,0,3.092,1.0
876568,0,693,14426,3,67232,1,0,1,6,1,0,0,5.927,1.0
876569,0,693,14426,3,79695,1,0,1,4,1,0,0,7.62,1.0
876570,0,693,14426,3,92778,1,0,1,4,1,0,0,8.179,1.0
876571,0,693,14426,3,88273,0,0,1,6,1,0,0,8.441,1.0
876572,0,693,14426,3,61396,1,0,1,4,1,0,0,5.412,1.0
876573,0,693,14426,1,18277,1,0,1,6,1,0,0,1.748,1.0
876574,0,693,14426,1,17037,0,0,1,4,1,0,0,1.629,1.0
876575,0,693,14426,3,86214,0,0,1,4,1,0,0,7.6,1.0
876576,0,693,14426,2,48063,0,0,1,6,1,0,0,4.596,1.0
876577,0,693,14426,2,31483,0,0,1,6,1,0,0,3.01,1.0
876578,0,693,14426,2,40702,0,0,1,6,1,0,0,3.892,1.0
876579,0,693,14426,3,81411,0,0,1,6,1,0,0,7.177,1.0
876580,0,693,14426,1,22321,1,0,1,6,1,0,0,1.968,1.0
876581,0,693,14426,2,36080,0,0,1,4,1,0,0,3.45,1.0
876582,0,693,14426,5,315528,1,0,1,4,1,0,0,27.815,1.0
876583,0,693,14426,1,24502,1,0,1,6,1,0,0,2.16,1.0
876584,0,693,14426,5,256520,0,0,1,6,1,0,0,24.529,1.0
876585,0,693,14426,5,274046,1,0,1,4,1,0,0,24.158,1.0
876586,0,693,14426,2,51572,1,0,1,4,1,0,0,4.546,1.0
876587,0,693,14426,2,59668,3,0,5,2,1,0,0,2.168,1.0
876588,0,693,14426,1,27882,1,0,1,4,1,0,0,2.666,1.0
876589,0,693,14426,3,63590,1,0,3,1,1,0,0,3.623,1.0
876590,0,693,14426,2,57334,3,0,3,1,1,0,0,3.361,1.0
876591,0,693,14426,3,74206,2,0,3,1,1,0,0,4.228,1.0
876592,0,693,14426,3,87881,1,0,1,4,1,0,0,7.747,1.0
876593,0,693,14426,4,118919,2,0,4,3,1,0,0,5.378,1.0
876594,0,693,14426,1,6238,3,0,8,1,1,0,0,0.163,1.0
876595,0,693,14426,1,12710,2,0,3,1,1,0,0,0.745,1.0
876596,0,693,14426,2,49939,0,0,2,1,1,0,0,3.789,1.0
876597,0,693,14426,2,38737,2,0,3,7,1,0,0,2.271,1.0
876598,0,693,14426,3,66065,2,0,2,7,1,0,0,4.524,1.0
876599,0,693,14426,3,85087,1,0,1,4,1,0,0,7.501,1.0
876600,0,693,14426,3,99382,2,0,2,1,1,0,0,6.806,1.0
876601,0,693,14426,2,38851,1,0,2,1,1,0,0,2.661,1.0
876602,0,693,14426,3,81166,2,0,4,1,1,0,0,3.551,1.0
876603,0,693,14426,3,74745,3,0,4,1,1,0,0,3.323,1.0
876604,0,693,14426,3,64804,1,0,4,5,1,0,0,2.931,1.0
876605,0,693,14426,4,114171,4,0,5,1,1,0,0,4.28,1.0
876606,0,693,14426,1,20703,0,0,1,4,1,0,0,1.825,1.0
876607,0,693,14426,2,55746,1,0,2,3,1,0,0,3.818,1.0
876608,0,693,14426,2,32841,2,0,2,1,1,0,0,2.249,1.0
876609,0,693,14426,5,268204,2,0,2,1,1,0,0,18.368,1.0
876610,0,693,14426,3,62656,2,0,3,3,1,0,0,3.57,1.0
876611,0,693,14426,1,256,2,0,2,7,1,0,0,0.018,1.0
876612,0,693,14426,2,32452,0,0,1,6,1,0,0,3.103,1.0
876613,0,693,14426,2,53326,3,0,3,5,1,0,0,3.126,1.0
876614,0,693,14426,1,7178,7,0,9,2,1,0,0,0.149,1.0
876615,0,693,14426,3,73667,2,0,5,2,1,0,0,2.831,1.0
876616,0,693,14426,2,38908,1,0,1,6,1,0,0,3.43,1.0
876617,0,693,14426,3,77000,0,0,1,4,1,0,0,6.788,1.0
876618,0,693,14426,5,234319,3,0,5,1,1,0,0,8.515,1.0
876619,0,693,14426,2,50307,0,0,3,1,1,0,0,2.949,1.0
876620,0,693,14426,2,38167,2,0,2,2,1,0,0,2.896,1.0
909560,0,742,14410,3,69402,2,0,2,3,8,0,0,4.753,1.0
909561,0,742,14410,3,75480,1,0,2,3,3,0,0,5.727,1.0
909562,0,742,14410,3,66625,1,0,2,1,8,0,0,5.055,1.0
909563,0,742,14410,5,314943,2,0,2,5,8,0,0,21.568,1.0
909564,0,742,14410,3,69550,2,0,2,1,8,0,0,4.763,1.0
909565,0,742,14410,5,312606,4,0,4,1,8,0,0,13.899,1.0
909566,0,742,14410,3,81558,1,0,3,3,2,0,0,4.642,1.0
909567,0,742,14410,4,110704,2,0,3,3,8,0,0,6.49,1.0
909568,0,742,14410,1,14449,2,0,2,1,8,0,0,0.99,1.0
909569,0,742,14410,1,28701,0,0,2,1,8,0,0,2.178,1.0
909570,0,742,14410,1,28647,1,0,2,1,8,0,0,1.962,1.0
909571,0,742,14410,1,24037,0,0,2,1,8,0,0,1.824,1.0
909572,0,742,14410,4,102842,1,0,2,3,2,0,0,7.803,1.0
909573,0,742,14410,4,104205,0,0,2,2,8,0,0,7.906,1.0
909574,0,742,14410,3,97915,3,0,4,1,8,0,0,4.354,1.0
909575,0,742,14410,2,54532,2,0,2,1,2,0,0,3.735,1.0
909576,0,742,14410,3,83812,1,0,2,3,2,0,0,5.74,1.0
909577,0,742,14410,2,44039,3,0,4,3,8,0,0,1.958,1.0
909578,0,742,14410,3,74157,0,0,2,7,2,0,0,5.626,1.0
909579,0,742,14410,5,158056,2,0,5,3,8,0,0,5.925,1.0
909580,0,742,14410,2,32662,1,0,2,5,8,0,0,2.237,1.0
909581,0,742,14410,5,152357,2,0,2,1,8,0,0,10.434,1.0
909582,0,742,14410,2,58734,1,0,1,6,2,0,0,5.178,1.0
909583,0,742,14410,3,63730,1,0,1,6,2,0,0,5.618,1.0
909584,0,742,14410,3,76069,1,0,1,4,2,0,0,6.706,1.0
909585,0,742,14410,2,39819,0,0,1,6,8,0,0,3.51,1.0
909586,0,742,14410,2,53448,1,0,1,6,8,0,0,4.712,1.0
909587,0,742,14410,2,45370,1,0,1,4,8,0,0,4.338,1.0
909588,0,742,14410,3,74010,1,0,1,4,8,0,0,6.524,1.0
909589,0,742,14410,3,83617,0,0,1,4,8,0,0,7.996,1.0
909590,0,742,14410,3,94351,1,0,1,6,8,0,0,8.317,1.0
909591,0,742,14410,5,153857,1,0,3,3,8,0,0,8.766,1.0
909592,0,742,14410,3,67278,1,0,1,4,8,0,0,5.931,1.0
909593,0,742,14410,5,163455,2,0,5,1,8,0,0,6.281,1.0
909594,0,742,14410,4,129261,3,0,3,1,8,0,0,7.578,1.0
909595,0,742,14410,2,59622,2,0,2,1,8,0,0,4.524,1.0
909596,0,742,14410,3,83960,4,0,4,1,2,0,0,3.733,1.0
909597,0,742,14410,1,7691,1,0,5,1,8,0,0,0.296,1.0
909598,0,742,14410,3,94874,1,0,4,1,8,0,0,4.29,1.0
909599,0,742,14410,3,78764,1,0,4,1,8,0,0,3.446,1.0
909600,0,742,14410,5,200433,1,0,2,3,3,0,0,13.336,1.0
909601,0,742,14410,5,299753,1,0,2,3,8,0,0,20.528,1.0
909602,0,742,14410,2,35810,2,0,4,1,8,0,0,1.619,1.0
909603,0,742,14410,1,29082,4,0,5,2,8,0,0,1.072,1.0
909604,0,742,14410,3,89302,1,0,2,5,8,0,0,6.116,1.0
909605,0,742,14410,1,13246,1,0,1,4,8,0,0,1.168,1.0
909606,0,742,14410,2,56680,2,0,2,7,8,0,0,3.882,1.0
909607,0,742,14410,2,35571,1,0,3,1,8,0,0,2.027,1.0
909608,0,742,14410,1,12077,2,0,2,5,2,0,0,0.827,1.0
909609,0,742,14410,2,58127,1,0,2,3,8,0,0,4.41,1.0
909610,0,742,14410,5,274630,1,0,3,2,8,0,0,15.632,1.0
909611,0,742,14410,1,21674,5,0,5,2,8,0,0,0.799,1.0
909612,0,742,14410,3,68325,2,0,4,1,8,0,0,3.09,1.0
909613,0,742,14410,2,51898,0,0,1,6,8,0,0,4.963,1.0
909614,0,742,14410,3,97076,0,0,3,3,2,0,0,5.691,1.0
909615,0,675,14443,2,37484,2,0,3,1,8,0,0,2.198,1.0
909616,0,675,14443,4,116386,1,0,3,5,2,0,0,6.631,1.0
909617,0,675,14443,1,5469,4,0,4,1,2,0,0,0.243,1.0
909618,0,675,14443,1,7947,0,0,1,6,2,0,0,0.701,1.0
909619,0,675,14443,5,207444,1,0,2,3,2,0,0,14.207,1.0
909620,0,675,14443,2,38595,2,0,2,1,2,0,0,2.643,1.0
909621,0,675,14443,2,32601,2,0,4,3,2,0,0,1.426,1.0
909622,0,675,14443,2,50470,2,0,3,1,2,0,0,2.959,1.0
909623,0,675,14443,1,13099,2,0,4,1,2,0,0,0.592,1.0
909624,0,675,14443,5,216791,1,0,2,2,8,0,0,14.847,1.0
909625,0,675,14443,1,28591,1,0,2,7,2,0,0,1.958,1.0
909626,0,675,14443,2,39307,2,0,3,1,3,0,0,2.239,1.0
909627,0,675,14443,5,246003,1,0,2,5,2,0,0,16.847,1.0
909628,0,675,14443,5,286316,2,0,3,1,2,0,0,16.786,1.0
909629,0,675,14443,3,81509,2,0,2,1,2,0,0,5.582,1.0
909630,0,675,14443,2,34281,3,0,3,1,8,0,0,2.01,1.0
909631,0,675,14443,3,73863,1,0,2,3,2,0,0,5.604,1.0
909632,0,675,14443,1,13197,1,0,3,1,2,0,0,0.774,1.0
909633,0,675,14443,3,61443,1,0,1,4,2,0,0,5.416,1.0
909634,0,675,14443,1,26824,1,0,1,6,2,0,0,2.365,1.0
909635,0,675,14443,2,49817,0,0,1,4,2,0,0,4.391,1.0
909636,0,675,14443,3,78372,1,0,1,4,8,0,0,6.909,1.0
909637,0,675,14443,1,5725,1,0,1,4,2,0,0,0.505,1.0
909638,0,675,14443,2,39022,1,0,1,4,2,0,0,3.44,1.0
909639,0,675,14443,2,32361,2,0,3,1,2,0,0,1.844,1.0
909640,0,675,14443,4,103262,1,0,5,2,2,0,0,3.968,1.0
909641,0,675,14443,1,12808,3,0,4,1,2,0,0,0.569,1.0
909642,0,675,14443,2,40162,2,0,4,5,2,0,0,1.816,1.0
909643,0,675,14443,1,9155,1,0,3,1,2,0,0,0.522,1.0
909644,0,675,14443,3,88224,2,0,3,1,2,0,0,5.026,1.0
909645,0,675,14443,2,39649,1,0,3,3,3,0,0,2.259,1.0
909646,0,675,14443,1,18196,0,0,1,4,2,0,0,1.74,1.0
909647,0,675,14443,4,109342,2,0,4,2,2,0,0,4.783,1.0
909648,0,675,14443,2,35540,0,0,2,1,2,0,0,2.434,1.0
909649,0,675,14443,2,55420,4,0,4,7,3,0,0,2.464,1.0
909650,0,675,14443,1,9447,1,0,3,1,2,0,0,0.538,1.0
909651,0,675,14443,1,19976,3,0,4,1,8,0,0,0.874,1.0
909652,0,675,14443,3,62983,2,0,3,3,2,0,0,3.693,1.0
909653,0,675,14443,1,9252,1,0,1,4,2,0,0,0.816,1.0
909654,0,675,14443,4,101270,0,0,2,3,8,0,0,6.738,1.0
909655,0,675,14443,2,45184,2,0,4,1,2,0,0,2.009,1.0
910032,0,749,14408,2,35361,0,0,1,4,8,0,0,3.381,1.0
910033,0,749,14408,4,110495,2,0,3,3,8,0,0,6.295,1.0
910034,0,749,14408,3,73030,2,0,4,5,8,0,0,3.303,1.0
910035,0,749,14408,2,37057,0,0,2,1,8,0,0,2.812,1.0
910036,0,749,14408,2,45696,1,0,2,1,8,0,0,3.467,1.0
910037,0,749,14408,5,192837,1,0,3,1,8,0,0,10.987,1.0
910038,0,749,14408,2,35181,2,0,4,5,8,0,0,1.591,1.0
910039,0,749,14408,2,44559,0,0,4,3,8,0,0,2.015,1.0
910040,0,749,14408,1,6067,1,0,2,5,8,0,0,0.415,1.0
910041,0,749,14408,3,70089,0,0,2,3,8,0,0,4.663,1.0
910042,0,749,14408,2,33141,1,0,2,1,8,0,0,2.27,1.0
910043,0,749,14408,3,84253,1,0,4,2,8,0,0,3.81,1.0
910044,0,749,14408,2,42425,2,0,3,7,8,0,0,2.487,1.0
910045,0,749,14408,2,33712,2,0,2,2,8,0,0,2.309,1.0
910046,0,749,14408,3,75823,3,0,4,1,8,0,0,3.371,1.0
910047,0,749,14408,4,129894,2,0,2,5,8,0,0,8.896,1.0
910048,0,749,14408,1,16605,2,0,2,3,8,0,0,1.137,1.0
910049,0,749,14408,1,21189,3,0,3,1,8,0,0,1.242,1.0
910050,0,749,14408,1,1282,1,0,2,1,8,0,0,0.088,1.0
910051,0,749,14408,5,208028,0,0,3,3,8,0,0,11.841,1.0
910052,0,749,14408,5,294495,2,0,2,1,8,0,0,20.168,1.0
910053,0,749,14408,3,78911,2,0,3,1,8,0,0,4.626,1.0
910054,0,749,14408,2,40133,2,0,6,1,8,0,0,1.377,1.0
910055,0,749,14408,5,268788,2,0,2,1,8,0,0,18.408,1.0
910056,0,749,14408,2,49082,1,0,3,1,8,0,0,2.796,1.0
910057,0,749,14408,4,143058,2,0,5,3,8,0,0,5.497,1.0
910058,0,749,14408,5,239576,1,0,2,1,8,0,0,16.407,1.0
910059,0,749,14408,3,92254,2,0,2,2,8,0,0,7.0,1.0
910060,0,749,14408,3,82636,1,0,2,1,8,0,0,5.659,1.0
910061,0,749,14408,5,242498,2,0,6,1,8,0,0,8.323,1.0
910062,0,749,14408,2,47818,0,0,2,1,8,0,0,3.275,1.0
910063,0,749,14408,3,87733,2,0,2,1,8,0,0,6.008,1.0
910064,0,749,14408,2,51938,0,0,1,6,8,0,0,4.578,1.0
910065,0,749,14408,2,53734,0,0,1,6,8,0,0,5.138,1.0
910066,0,749,14408,4,134537,1,0,1,4,8,0,0,12.865,1.0
910067,0,749,14408,1,24154,1,0,1,4,8,0,0,2.129,1.0
910068,0,749,14408,5,248340,0,0,1,4,8,0,0,21.892,1.0
910069,0,749,14408,2,48919,1,0,1,4,8,0,0,4.678,1.0
910070,0,749,14408,2,37512,0,0,1,6,8,0,0,3.307,1.0
910071,0,749,14408,1,25547,0,0,1,4,8,0,0,2.252,1.0
910072,0,749,14408,3,80872,1,0,1,4,8,0,0,7.129,1.0
910073,0,749,14408,1,15743,1,0,1,4,8,0,0,1.388,1.0
910074,0,749,14408,3,95923,0,0,1,6,8,0,0,8.456,1.0
910075,0,749,14408,3,90037,1,0,1,4,8,0,0,7.937,1.0
910076,0,749,14408,2,48960,1,0,1,4,8,0,0,4.682,1.0
910077,0,749,14408,2,41489,0,0,1,4,8,0,0,3.967,1.0
910078,0,749,14408,1,12320,1,0,1,6,8,0,0,1.086,1.0
